lat,lon,type,category,weight,name
6.3687475,2.4864546,fuel,productive_medium,2.0,TOTAL
6.3564674,2.4001139,water_tower,infrastructure_water,1.0,
6.406674,2.3424965,bank,productive_medium,3.0,institue de microfinance
9.3630615,2.6248048,fuel,productive_medium,2.0,TOTAL
9.3645091,2.6242655,pharmacy,institutional_health,3.0,Pharmacie Zongo II
9.3414845,2.6259662,bank,productive_medium,3.0,Orabank Agence de Parakou
9.357165,2.581797,school,institutional_edu,12.0,École Primaire Tibona
9.3959323,2.6213557,tailor,productive_light,0.5,Bip - Couture
9.3386129,2.6289592,convenience,productive_light,0.5,MTN
9.3544241,2.6246679,bakery,productive_light,0.5,La Borgoise
9.3593178,2.6247815,water_tower,infrastructure_water,1.0,
9.3414794,2.6136237,courthouse,institutional_govt,4.0,Cour d'Appel
9.3472278,2.5956815,school,institutional_edu,12.0,EPP Albarika
9.3446377,2.6114982,cafe,productive_light,0.8,
9.3530105,2.6174203,place_of_worship,institutional_religious,4.0,Église Évangéliste
9.3418178,2.6308978,marketplace,productive_heavy,8.0,Marché de Kobo Kobo
9.3426731,2.6267295,bank,productive_medium,3.0,Western Union
9.3424935,2.6262594,fuel,productive_medium,2.0,Sonacop
9.3419686,2.6228232,books,productive_light,0.5,Librairie Saint Paul
9.3426708,2.6212351,pharmacy,institutional_health,3.0,Pharmacie La Grace
9.3846113,2.6328611,tailor,productive_light,0.5,Tailleur Bonus
9.3847463,2.6217062,marketplace,productive_heavy,8.0,Marché Germa
9.3763365,2.6238573,pharmacy,institutional_health,3.0,Pharmacie Vita-Plus
9.36544,2.6246474,yes,productive_light,0.5,Patience Coiffure
11.2975134,2.4342752,tower,infrastructure_telecom,72.0,
9.395548,2.6207686,fuel,productive_medium,2.0,Jupiter Petroleum
9.3460237,2.612376,restaurant,productive_light,1.5,La Douane
9.374212,2.6242115,cafe,productive_light,0.8,Soleil d'Afrique
9.3814527,2.6231995,cafe,productive_light,0.8,Cyber Navigation Face SNTN
9.3615169,2.6226906,fuel,productive_medium,2.0,TOTAL
9.350292,2.5888138,police,institutional_govt,8.0,Commissariat de police de Camp Adagbe
9.3475961,2.6363716,townhall,institutional_govt,6.0,Mairie Annexe
9.3565211,2.6141456,bar,productive_light,1.2,Hôtel le Grillardin
6.2764588,1.8162856,guest_house,productive_medium,1.5,Doue Plage
6.2792284,1.8303869,hotel,productive_heavy,5.0,Aubèrge de Grand Popo
7.1970262,1.9805284,hotel,productive_heavy,5.0,Hotel Bar Restaurant à la lune chez Monique
9.6872305,1.6535644,guest_house,productive_medium,1.5,Hotel la Fidelité
7.2029253,2.0699681,fuel,productive_medium,2.0,
7.196741,2.0693048,fuel,productive_medium,2.0,
10.1802792,1.1994286,guest_house,productive_medium,1.5,Aubèrge Paroissiale
10.1695725,1.1086665,police,institutional_govt,8.0,Douane
9.0053612,1.6708055,townhall,institutional_govt,6.0,Ancienne Mairie
9.0087505,1.6657943,bakery,productive_light,0.5,boulangerie
9.0017828,1.6702055,fuel,productive_medium,2.0,station
6.3593793,2.439464,government,institutional_govt,8.0,Institut Géographique National (Annexe)
9.0042643,1.6681128,pharmacy,institutional_health,3.0,Pharmacy SAFARI
9.0086408,1.6739195,pharmacy,institutional_health,3.0,Pharmacy
6.3762313,2.3998337,hardware,productive_light,0.5,SOREMAC
6.3632163,2.4308858,furniture,productive_light,0.5,City Meubles
6.3610744,2.4375199,stationery,productive_light,0.5,Papeterie Moderne
7.1823806,1.9838999,biergarten,productive_heavy,5.0,Résidence Marie-Josée
6.6395167,1.7114811,townhall,institutional_govt,6.0,Hôtel de Ville de Lokossa
6.9286523,1.8926945,townhall,institutional_govt,6.0,Mairie de Lalo
9.2485661,1.5120487,marketplace,productive_heavy,8.0,
6.5806678,1.6667248,townhall,institutional_govt,6.0,Mairie de la commune d'Athiémé
9.0092154,1.6645535,hardware,productive_light,0.5,Guissida
9.007924,1.6649464,fuel,productive_medium,2.0,
9.0101665,1.6721636,books,productive_light,0.5,Librairie Ganaana
9.2769734,1.6639503,school,institutional_edu,12.0,EPP Taba
9.2641562,1.6908012,school,institutional_edu,12.0,EPP Melan
9.0044308,1.6688595,cafe,productive_light,0.8,
9.6945379,1.6769929,fuel,productive_medium,2.0,
9.9393877,1.3894511,school,institutional_edu,12.0,EPP Anadana
6.8032078,1.7787572,police,institutional_govt,8.0,
6.7904929,1.8436345,hotel,productive_heavy,5.0,
6.7969063,1.7731849,fuel,productive_medium,2.0,
6.8007042,1.7766436,bar,productive_light,1.2,Tau sau Tau
6.8220531,1.8624797,school,institutional_edu,12.0,
6.3477453,2.4034131,hotel,productive_heavy,5.0,Arcada Marina
6.3596213,2.4201186,variety_store,productive_light,0.5,Boutique de souvenirs
6.3615737,2.4230683,clothes,productive_light,0.5,Tim Mag Couture
6.4784549,2.6205329,fuel,productive_medium,2.0,
9.3564523,2.6265627,pharmacy,institutional_health,3.0,pharmacie TRANZA
9.3402287,2.6294336,bank,productive_medium,3.0,Ecobank
9.3520657,2.6166822,copyshop,productive_light,0.5,Imprimerie Expresse
9.10325,1.9358056,water_tower,infrastructure_water,1.0,chateau d'eau de DOGUE/IGBOMAKRO
6.7953837,1.7727402,restaurant,productive_light,1.5,Sous les paillotes
6.808117,1.7856095,post_office,productive_light,1.0,
6.5075851,2.6219676,school,institutional_edu,12.0,Djégan-Kpévi Ecole Secondaire
6.5070905,2.5956348,school,institutional_edu,12.0,Ouando Ecole Secondaire
6.4722789,2.6292718,school,institutional_edu,12.0,Akpassa Ecole Secondaire
6.5089496,2.632499,school,institutional_edu,12.0,Anavie Ecole Secondaire
6.5034875,2.6421421,school,institutional_edu,12.0,Ecole Secondaire
6.4777411,2.6044867,school,institutional_edu,12.0,Djassín Ecole Secondaire
6.4900093,2.6169183,school,institutional_edu,12.0,Applicatíon Ecole Secondaire
6.4890662,2.6328011,school,institutional_edu,12.0,Centre de formation
6.4870328,2.6180194,school,institutional_edu,12.0,Lycée Behanzín Ecole Secondaire
6.5144073,2.59948,school,institutional_edu,12.0,Unité Ecole Secondaire
6.4961962,2.638754,school,institutional_edu,12.0,Davié Ecole Secondaire
6.4883237,2.6219678,school,institutional_edu,12.0,Bio-Guéra Ecole Secondaire
6.4964989,2.6010249,school,institutional_edu,12.0,Les Cocobers Ecole Secondaire
10.3058604,1.379355,bank,productive_medium,3.0,Ecobank
10.305878,1.3802744,hardware,productive_light,0.5,"Ets Glory aka ""les syrien"" aka ""les libanais"" aka ""les indien"""
10.2959312,1.3811107,fuel,productive_medium,2.0,Station essence SONACOP
6.3510617,2.3404371,restaurant,productive_light,1.5,Chez Papa Poochy
6.4042281,1.8837676,townhall,institutional_govt,6.0,
6.4052278,1.883628,school,institutional_edu,12.0,
6.407654,1.8861268,bar,productive_light,1.2,
6.4129496,1.8703216,school,institutional_edu,12.0,Collège d'Enseignement Général 1 de COME
6.4060754,1.8797361,school,institutional_edu,12.0,
6.4084903,1.8867394,place_of_worship,institutional_religious,4.0,
6.4025474,1.8878074,police,institutional_govt,8.0,Douane
6.4107357,1.8765689,school,institutional_edu,12.0,
10.6388192,1.2624537,hotel,productive_heavy,5.0,Hôtel Baobab de Tanguieta
7.1945905,1.9858937,hotel,productive_heavy,5.0,Motel d'Abomey
9.3419266,2.6259717,supermarket,productive_light,0.5,Coop
7.1825516,1.9906144,water_tower,infrastructure_water,1.0,
6.2782646,1.8230157,bar,productive_light,1.2,Victor's Place
6.2786552,1.8232155,hotel,productive_heavy,5.0,Hotel Mon Secours
6.2782123,1.8216528,hotel,productive_heavy,5.0,Saveurs Afrique
6.3490155,2.386957,supermarket,productive_light,0.5,Erevan Hypermarket
10.1820147,1.0992549,place_of_worship,institutional_religious,4.0,Grande Mosquée
10.1742039,1.110041,post_office,productive_light,1.0,
10.1825791,1.1009608,place_of_worship,institutional_religious,4.0,Eglise catholique Sainte Anne
6.8100613,1.7876916,school,institutional_edu,12.0,
10.3072141,1.3795105,bank,productive_medium,3.0,Bank of Africa - BOA
10.3070768,1.3795427,supermarket,productive_light,0.5,Quidata
10.3647187,1.3534334,school,institutional_edu,12.0,Ecole Charminade
