lat,lon,demand,mean_rwi,hull_area,identifier,population,buffer_area,description,admin_cgaz_0,admin_cgaz_1,admin_cgaz_2,overlap_area,village_name,bf_total_area,energy_demand,num_buildings,has_nightlight,large_buildings,num_connections,small_buildings,building_density,main_road_access,medium_buildings,nearest_hub_name,pv_size_category,Buildings_per_km2,demand_connection,dist_main_road_km,dist_lake_river_km,overlap_percentage,dist_nearest_hub_km,dist_to_substations,has_health_facility,dist_to_regional_hubs,num_health_facilities,very_small_structures,closest_distance_water,has_education_facility,building_density_percent,num_education_facilities,dist_to_gridlight_targets,avg_connection_energy_demand,Medium_and_large_buildings_pc,distance_to_planned_transmission_lines,distance_to_existing_transmission_lines,dist_to_existing_planned_transmission_lines_2017,count_infrastructure_telecom,count_infrastructure_water,count_institutional_edu,count_institutional_govt,count_institutional_health,count_institutional_religious,count_productive_heavy,count_productive_light,count_productive_medium,weight_infrastructure_telecom,weight_infrastructure_water,weight_institutional_edu,weight_institutional_govt,weight_institutional_health,weight_institutional_religious,weight_productive_heavy,weight_productive_light,weight_productive_medium,has_poi_signal,productive_multiplier,n_health_combined,n_education_combined,anchor_load_kwh_yr,GHI,pop_2030_worldpop,growth_factor,admin1_name,admin2_name,dist_to_hvline_km
11.628547,3.495627,5.695,0.076,0.018138327,16664,44,18138.327,,Benin,Alibori,Malanville,0.0,Malanville,0.000572065,3.689,17,False,0,17,17,0.031539018,True,0,Madécali,Very small,937.241884,0.335,0.0,1.929,0.0,10.078,28.7629253,False,10.07754893,0,10,1.928925755,True,3.153901783,1,9.573901342,0.217,0.0,21.53663493,182.7441234,21.53663493,0,0,1,0,0,0,0,0,0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2,0,1,0.0,2077.907,47,1.0682,Alibori,Malanville,182.058
7.377139,2.169775,14.07,-0.461,0.043119484,5098,108,43119.484,,Benin,Zou,Djidja,0.0,Location #7909,0.001290493,9.114,42,False,0,42,42,0.029928312,False,0,Kpakpamè,Very small,974.0376235,0.335,10.164386,2.143,0.0,9.786,24.61766663,False,9.786356013,0,8,2.143231321,False,2.99283124,0,9.311686115,0.217,0.0,25.89593867,10.62072055,10.62072055,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1756.122,26,1.3158,Zou,Djidja,10.734
6.524083,1.932591,26.74,0.132,0.08002702,781,198,80027.02,,Benin,Mono,Houeyogbe,0.0,Dahè,0.004398488,18.008,77,False,0,77,74,0.054962534,False,3,Dahè,Very small,962.1750226,0.347272727,1.086374,1.535,0.0,1.626,13.03181472,False,1.625546787,0,12,1.534592873,False,5.496253393,0,0.337483039,0.23387013,3.896103896,12.4224611,12.37850938,12.37850938,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1734.938,105,1.2246,Mono,Houéyogbé,12.671
10.563094,1.558684,142.4,-0.572,0.147660572,13578,1297,147660.572,,Benin,Atakora,Toucountouna,0.0,Kouarfa,0.016062211,94.02,415,False,4,415,410,0.108777929,False,1,Toucountouna,Small,2810.499748,0.34313253,7.986889,0.034,0.0,20.588,40.77934618,False,20.58835821,0,56,0.034302185,True,10.87779294,1,14.98094879,0.226554217,1.204819277,28.22297112,40.76627055,28.22297112,0,0,1,0,0,0,0,0,0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2,0,1,0.0,2026.042,528,1.1044,Atakora,Toucountouna,41.147
6.624211,1.944051,38.09,-0.11,0.061567058,1644,281,61567.058,,Benin,Mono,Bopa,0.0,Bopa,0.005956882,25.818,109,False,0,109,104,0.096754369,False,5,Lobogo,Very small,1770.427295,0.349449541,1.318121,0.899,0.0,4.204,10.88328964,False,4.20428074,0,9,0.899477986,False,9.675436853,0,2.205981831,0.236862385,4.587155963,4.09163733,4.041404271,4.041404271,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1718.136,168,1.2246,Mono,Bopa,4.352
10.172764,2.926753,5.36,-0.455,0.026791366,11095,41,26791.366,,Benin,Borgou,Bembereke,0.0,Location #15653,0.000468621,3.472,16,False,0,16,16,0.017491477,False,0,,Very small,597.2073302,0.335,1.987448,0.342,0.0,5.496,29.52443269,False,5.496290102,0,12,0.342334755,False,1.749147677,0,5.217794941,0.217,0.0,23.61289024,29.33256295,23.61289024,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1997.552,59,1.439,Borgou,Bembèrèkè,29.428
9.796801,1.39436,14.05,-0.365,0.037254977,9122,106,37254.977,,Benin,Donga,Ouake,0.0,Tchalinga,0.002169954,9.33,41,False,0,41,40,0.058246023,True,1,Tchalinga,Very small,1100.524093,0.342682927,0.0,0.115,0.0,1.036,28.12858181,False,1.035801439,0,6,0.115123507,False,5.824602255,0,0.472593928,0.227560976,2.43902439,32.48871705,10.5533166,10.5533166,0,0,1,0,0,0,0,0,0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2,0,1,0.0,1987.325,83,1.1729,Donga,Ouaké,10.62
6.733789,2.593756,14.64,-1.024,0.023975961,3331,101,23975.961,,Benin,Plateau,Sakete,0.0,Illosso-Saharo,0.002975088,10.628,39,False,0,39,34,0.124086273,False,5,Yoko,Very small,1626.629279,0.375384615,2.146397,0.578,0.0,2.951,6.090783029,False,2.951017101,0,0,0.577775366,False,12.40862725,0,1.843608475,0.272512821,12.82051282,0.848154632,0.88781546,0.848154632,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1704.987,106,1.0495,Plateau,Sakété,1.009
10.291834,1.026399,9.38,-0.571,0.045141321,11298,72,45141.321,,Benin,Atakora,Boukombe,0.0,Takotiéta,0.00087838,6.076,28,False,0,28,28,0.019458451,False,0,Boukombé,Very small,620.2742681,0.335,10.079564,1.043,0.0,14.348,41.20824754,False,14.3482778,0,18,1.043088111,False,1.945845071,0,3.775410882,0.217,0.0,36.11175728,41.17665146,36.11175728,0,0,1,0,0,0,0,0,0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2,0,1,0.0,1986.595,32,1.1044,Atakora,Boukoumbé,41.326
10.17555,2.83287,8.02,-0.472,0.020341411,11071,59,20341.411,,Benin,Borgou,Bembereke,0.0,Location #12525,0.001138575,5.424,23,False,0,23,22,0.055973234,False,1,Bouanri,Very small,1130.698369,0.348695652,0.907785,1.499,0.0,5.434,19.33092331,False,5.434033494,0,2,1.499123754,False,5.597323448,0,4.812743272,0.235826087,4.347826087,13.58702977,19.08833219,13.58702977,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2005.953,94,1.5932,Borgou,Bembèrèkè,19.157
